name,ALIGN,EYE,HAIR,SEX,GSM,APPEARANCES,YEAR
Batman (Bruce Wayne),Good Characters,Blue Eyes,Black Hair,Male Characters,,3093,1939
Superman (Clark Kent),Good Characters,Blue Eyes,Black Hair,Male Characters,,2496,1986
Green Lantern (Hal Jordan),Good Characters,Brown Eyes,Brown Hair,Male Characters,,1565,1959
James Gordon (New Earth),Good Characters,Brown Eyes,White Hair,Male Characters,,1316,1987
Richard Grayson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,1237,1940
Wonder Woman (Diana Prince),Good Characters,Blue Eyes,Black Hair,Female Characters,,1231,1941
Aquaman (Arthur Curry),Good Characters,Blue Eyes,Blond Hair,Male Characters,,1121,1941
Timothy Drake (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,1095,1989
Dinah Laurel Lance (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,1075,1969
Flash (Barry Allen),Good Characters,Blue Eyes,Blond Hair,Male Characters,,1028,1956
GenderTest,Good Characters,Blue Eyes,Blond Hair,Female Characters,,1028,1956
Alan Scott (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,969,1940
Barbara Gordon (New Earth),Good Characters,Blue Eyes,Red Hair,Female Characters,,951,1967
Jason Garrick (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,951,1940
Lois Lane (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,934,1938
Alfred Pennyworth (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,930,1943
Carter Hall (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,803,1940
Kyle Rayner (New Earth),Good Characters,Green Eyes,Black Hair,Male Characters,,716,1994
Raymond Palmer (New Earth),Good Characters,Brown Eyes,,Male Characters,,706,1961
Alexander Luthor (New Earth),Bad Characters,Green Eyes,,Male Characters,,677,1986
Roy Harper (New Earth),Neutral Characters,Green Eyes,Red Hair,Male Characters,,654,1941
Kara Zor-L (Earth-Two),Good Characters,Blue Eyes,Blond Hair,Female Characters,,635,1976
Ted Grant (New Earth),,Blue Eyes,Black Hair,Male Characters,,605,1942
Garfield Logan (New Earth),Good Characters,Green Eyes,Green Hair,Male Characters,,595,1965
Guy Gardner (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,593,1968
Victor Stone (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,584,1980
Kon-El (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,560,1993
Ralph Dibny (New Earth),,Blue Eyes,Red Hair,Male Characters,,558,1960
James Olsen (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,,557,1986
John Stewart (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,549,1971
Joker (New Earth),Bad Characters,Green Eyes,Green Hair,Male Characters,,517,1940
Franklin Rock (New Earth),Good Characters,Blue Eyes,,Male Characters,,492,1959
Garth (New Earth),Good Characters,Purple Eyes,Black Hair,Male Characters,,487,1960
Rex Mason (New Earth),,Black Eyes,,Male Characters,,470,1965
Zatanna Zatara (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,439,1964
Aztar (New Earth),,White Eyes,,Male Characters,,436,1940
Theodore Kord (New Earth),,Blue Eyes,Brown Hair,Male Characters,,429,1986
Michael Jon Carter (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,427,1986
Cassandra Sandsmark (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,423,1996
Kent Nelson (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,422,1940
Harvey Bullock (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,413,1974
Rachel Roth (New Earth),Good Characters,Purple Eyes,Black Hair,Female Characters,,399,1980
Helena Bertinelli (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,393,1989
Wesley Dodds (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,391,1939
Uxas (New Earth),Bad Characters,Red Eyes,,Male Characters,,388,1970
Nathaniel Adam (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,386,1987
Ronald Raymond (New Earth),Good Characters,Blue Eyes,,Male Characters,,386,1978
Red Tornado (New Earth),Good Characters,Green Eyes,,Male Characters,,374,1968
John Constantine (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,Bisexual Characters,371,1984
Albert Pratt (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,370,1940
Charles McNider (New Earth),,Blue Eyes,Blond Hair,Male Characters,,361,1941
Theodore Knight (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,356,1941
Lobo (New Earth),Neutral Characters,Red Eyes,Black Hair,Male Characters,,353,1983
Perry White (New Earth),,Blue Eyes,Brown Hair,Male Characters,,350,1986
John Henry Irons (New Earth),Good Characters,Brown Eyes,,Male Characters,,345,1993
Jefferson Pierce (New Earth),Good Characters,Brown Eyes,,Male Characters,,344,1977
Slade Wilson (New Earth),Neutral Characters,Blue Eyes,White Hair,Male Characters,,336,1980
Phantom Stranger (New Earth),,Black Eyes,Black Hair,Male Characters,,335,1952
Beatriz da Costa (New Earth),Good Characters,Green Eyes,Green Hair,Female Characters,,325,1982
William Batson (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,321,1940
Carol Ferris (New Earth),Neutral Characters,Blue Eyes,Black Hair,Female Characters,,319,1959
Clifford Steele (New Earth),,Photocellular Eyes,,Male Characters,,314,1963
Etrigan (New Earth),Neutral Characters,Red Eyes,,Male Characters,,311,1972
Jennifer-Lynn Hayden (New Earth),Good Characters,Green Eyes,Green Hair,Female Characters,,309,1983
Swamp Thing (New Earth),Good Characters,Red Eyes,,Male Characters,,309,1972
Renee Montoya (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,Homosexual Characters,308,1992
Harvey Dent (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,306,1942
Courtney Whitmore (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,305,1999
Kendra Saunders (New Earth),Good Characters,Hazel Eyes,Brown Hair,Female Characters,,301,1999
Michael Holt (New Earth),,Brown Eyes,Black Hair,Male Characters,,300,1997
Kilowog (New Earth),Good Characters,Red Eyes,,Male Characters,,299,1986
Kara Zor-El (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,297,2004
Jonah Hex (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,291,1972
Rex Tyler (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,288,1940
Pamela Isley (New Earth),Neutral Characters,Green Eyes,Red Hair,Female Characters,,286,1966
Pieter Cross (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,284,1999
Jonathan L. Thunder (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,282,1940
Mari McCabe (New Earth),Good Characters,Amber Eyes,Brown Hair,Female Characters,,268,1981
Scott Free (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,268,1971
Martha Clark (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,266,1986
Boston Brand (New Earth),Good Characters,Blue Eyes,,Male Characters,,262,1967
Daniel Turpin (New Earth),,Brown Eyes,Brown Hair,Male Characters,,261,1942
John Zatara (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,256,1938
Jonathan Kent (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,254,1986
Oswald Cobblepot (New Earth),,Blue Eyes,Black Hair,Male Characters,,253,1941
Tatsu Yamashiro (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,252,1983
Lawrence Trainor (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,250,1963
Albert Rothstein (New Earth),Good Characters,Blue Eyes,,Male Characters,,245,1983
Brion Markov (New Earth),Good Characters,Green Eyes,Strawberry Blond Hair,Male Characters,,245,1983
Sanderson Hawkins (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,241,1941
Jonathan Chambers (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,239,1941
Orion (New Earth),Good Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,,237,1971
Thaal Sinestro (New Earth),Neutral Characters,Yellow Eyes,Black Hair,Male Characters,,237,1961
Cassandra Cain (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,235,1999
Jason Todd (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,235,1987
Susan Dearbon (New Earth),Good Characters,,Black Hair,Female Characters,,235,1961
Jean-Paul Valley (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,234,1992
Hippolyta (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,231,1987
Joseph Wilson (New Earth),Neutral Characters,Green Eyes,Blond Hair,Male Characters,,229,1984
Bernhard Baker (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,229,1965
Sylvester Pemberton (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,229,1941
Jesse Chambers (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,228,1992
Floyd Lawton (New Earth),Neutral Characters,Blue Eyes,Brown Hair,Male Characters,,227,1950
Mera (New Earth),,Blue Eyes,Red Hair,Female Characters,,226,1963
Tora Olafsdotter (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,225,1988
George Harkness (New Earth),,Brown Eyes,Brown Hair,Male Characters,,224,1960
Amanda Waller (New Earth),Good Characters,Brown Eyes,Black Hair,Female Characters,,222,1986
Jonathan Crane (New Earth),Bad Characters,Blue Eyes,Brown Hair,Male Characters,,222,1941
Leonard Snart (New Earth),,Brown Eyes,Brown Hair,Male Characters,,219,1957
Shiera Sanders (New Earth),Good Characters,Brown Eyes,Red Hair,Female Characters,,219,1940
Maxwell Lord IV (New Earth),Neutral Characters,Black Eyes,Brown Hair,Male Characters,,218,1987
Jeb Stuart (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,218,1961
Damian Wayne (Prime Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,216,1987
Big Barda (New Earth),Good Characters,Blue Eyes,Black Hair,Female Characters,,216,1971
Niles Caulder (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,,214,1963
James Corrigan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,214,1940
Samuel Bradley (New Earth),Good Characters,Grey Eyes,Grey Hair,Male Characters,,213,1937
Richard Tyler (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,,212,1985
James Ewell Brown Stuart (New Earth),Good Characters,,Brown Hair,Male Characters,,212,1961
Todd Rice (New Earth),Good Characters,Brown Eyes,Brown Hair,Male Characters,Homosexual Characters,208,1983
Yz (New Earth),Good Characters,Red Eyes,,Male Characters,,207,1940
Matrix (Pocket Universe),Good Characters,Blue Eyes,Blond Hair,Female Characters,,206,1988
Wolfgang Winks (New Earth),Good Characters,,Black Hair,Male Characters,,206,1942
William Glenmorgan (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,199,1940
Stephanie Brown (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,198,1992
Raymond Terrill (New Earth),Good Characters,Green Eyes,Red Hair,Male Characters,,192,1992
Adam Blake (New Earth),Good Characters,Hazel Eyes,Brown Hair,Male Characters,,191,1951
Kimiyo Hoshi (New Earth),,Black Eyes,Black Hair,Female Characters,,189,1985
Jack Ryder (New Earth),Good Characters,Blue Eyes,Black Hair,Male Characters,,188,1968
Vandar Adg (New Earth),,Brown Eyes,Black Hair,Male Characters,,188,1943
Justin Arthur (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,184,1941
Max Mercury (New Earth),Good Characters,Blue Eyes,Grey Hair,Male Characters,,183,1940
Abigail Arcane (New Earth),Good Characters,Blue Eyes,White Hair,Female Characters,,182,1973
Thomas Haukins (New Earth),Good Characters,Blue Eyes,Blond Hair,Male Characters,,181,1947
Margaret Sawyer (New Earth),,Blue Eyes,,Female Characters,Homosexual Characters,180,1987
Waylon Jones (New Earth),Bad Characters,Red Eyes,,Male Characters,,180,1983
Travis Morgan (New Earth),Good Characters,Blue Eyes,White Hair,Male Characters,,180,1975
Gorilla Grodd (New Earth),Bad Characters,Grey Eyes,Black Hair,Male Characters,,179,1959
Talia al Ghul (New Earth),Bad Characters,Brown Eyes,Brown Hair,Female Characters,,177,1971
Adam Strange (New Earth),,Blue Eyes,Blond Hair,Male Characters,,177,1958
Patrick Dugan (New Earth),Good Characters,Blue Eyes,Red Hair,Male Characters,,177,1941
Daniel Cassidy (New Earth),Good Characters,Yellow Eyes,,Male Characters,,176,1984
James Harper Clone (New Earth),Good Characters,Blue Eyes,Brown Hair,Male Characters,,176,1971
Thomas Kalmaku (New Earth),Good Characters,Brown Eyes,Black Hair,Male Characters,,176,1960
Gabrielle Doe (New Earth),Good Characters,Blue Eyes,Blond Hair,Female Characters,,175,1983
Henry Hall (New Earth),Good Characters,Red Eyes,Brown Hair,Male Characters,,175,1968
Connor Hawke (New Earth),Good Characters,Green Eyes,Blond Hair,Male Characters,,174,1994
Linda Park (New Earth),,Brown Eyes,Black Hair,Female Characters,,174,1989
Cyrus Gold (New Earth),Bad Characters,Black Eyes,White Hair,Male Characters,,174,1944
Edward Nashton (New Earth),Neutral Characters,Blue Eyes,Black Hair,Male Characters,,173,1988
